Sub_County,District,Region
Katooke Town Council,Kyenjojo,Western Region
Kigaraale,Kyenjojo,Western Region
Kihuura,Kyenjojo,Western Region
Kisojo,Kyenjojo,Western Region
Kyamutunzi Town Council,Kyenjojo,Western Region
Kyarusozi,Kyenjojo,Western Region
Kyarusozi Town Council,Kyenjojo,Western Region
Kyembogo,Kyenjojo,Western Region
Kyenjojo Town Council,Kyenjojo,Western Region
Mwenge,Kyenjojo,Western Region
Nyabiringo,Kyenjojo,Western Region
Nyabuharwa,Kyenjojo,Western Region
Nyankwanzi,Kyenjojo,Western Region
Nyantungo,Kyenjojo,Western Region
Budongo,Masindi,Western Region
Bujenje,Masindi,Western Region
Buruuli,Masindi,Western Region
Bwijanga,Masindi,Western Region
Central Division,Masindi,Western Region
Karujubu Division,Masindi,Western Region
Kigulya Division,Masindi,Western Region
Kimengo,Masindi,Western Region
Masindi Municipality,Masindi,Western Region
Miirya,Masindi,Western Region
Nyangahya Division,Masindi,Western Region
Pakanyi,Masindi,Western Region
Biharwe Division,Mbarara,Western Region
Bubaare,Mbarara,Western Region
Bukiro,Mbarara,Western Region
Kagongi,Mbarara,Western Region
Kakiika Division,Mbarara,Western Region
Kakoba Division,Mbarara,Western Region
Kamukuzi Division,Mbarara,Western Region
Kashare,Mbarara,Western Region
Kashari,Mbarara,Western Region
Mbarara Municipality,Mbarara,Western Region
Nyakayojo Division,Mbarara,Western Region
Nyamitanga Division,Mbarara,Western Region
Rubaya,Mbarara,Western Region
Rubindi,Mbarara,Western Region
Rwanyamahembe,Mbarara,Western Region
Bitereko,Mitooma,Western Region
Kabira,Mitooma,Western Region
Kanyabwanga,Mitooma,Western Region
Kashenshero,Mitooma,Western Region
Kashenshero Town Council,Mitooma,Western Region
Katenga,Mitooma,Western Region
Kiyanga,Mitooma,Western Region
Mayanga,Mitooma,Western Region
Mitooma,Mitooma,Western Region
Mitooma Town Council,Mitooma,Western Region
Mutara,Mitooma,Western Region
Ruhinda,Mitooma,Western Region
Rurehe,Mitooma,Western Region
Butungama,Ntoroko,Western Region
Bweramule,Ntoroko,Western Region
Kanara,Ntoroko,Western Region
Kanara Town Council,Ntoroko,Western Region
Karugutu,Ntoroko,Western Region
Karugutu Town Council,Ntoroko,Western Region
Kibuuku Town Council,Ntoroko,Western Region
Nombe,Ntoroko,Western Region
Ntoroko,Ntoroko,Western Region
Rwebisengo,Ntoroko,Western Region
Rwebisengo Town Council,Ntoroko,Western Region
Bwongyera,Ntungamo,Western Region
Central Division,Ntungamo,Western Region
Eastern Division,Ntungamo,Western Region
Ihunga,Ntungamo,Western Region
Itojo,Ntungamo,Western Region
Kafunjo-Mirama Town Council,Ntungamo,Western Region
Kagarama Town Council,Ntungamo,Western Region
Kajara,Ntungamo,Western Region
Kayonza,Ntungamo,Western Region
Kibatsi,Ntungamo,Western Region
Kitwe Town Council,Ntungamo,Western Region
Ngoma,Ntungamo,Western Region
Ntungamo,Ntungamo,Western Region
Ntungamo Municipality,Ntungamo,Western Region
Nyabihoko,Ntungamo,Western Region
Nyakyera,Ntungamo,Western Region
Nyamunuka Town Council,Ntungamo,Western Region
Rubaare,Ntungamo,Western Region
Rubaare Town Council,Ntungamo,Western Region
Rugarama,Ntungamo,Western Region
Ruhaama,Ntungamo,Western Region
Rukoni East,Ntungamo,Western Region
Rukoni West,Ntungamo,Western Region
Rushenyi,Ntungamo,Western Region
Rwashamaire Town Council,Ntungamo,Western Region
Rweikiniro,Ntungamo,Western Region
Western Division,Ntungamo,Western Region
Bubaare,Rubanda,Western Region
Bufundi,Rubanda,Western Region
Hamurwa,Rubanda,Western Region
Hamurwa Town Council,Rubanda,Western Region
Ikumba,Rubanda,Western Region
Muko,Rubanda,Western Region
Nyamweru,Rubanda,Western Region
Rubanda,Rubanda,Western Region
Rubanda Town Council,Rubanda,Western Region
Ruhija,Rubanda,Western Region
Bunyaruguru,Rubirizi,Western Region
Katanda,Rubirizi,Western Region
Katerera,Rubirizi,Western Region
Katerera Town Council,Rubirizi,Western Region
Katunguru,Rubirizi,Western Region
Kichwamba,Rubirizi,Western Region
Kirugu,Rubirizi,Western Region
Kyabakara,Rubirizi,Western Region
Magambo,Rubirizi,Western Region
Rubiriziri Town Council,Rubirizi,Western Region
Rutoto,Rubirizi,Western Region
Ryeru,Rubirizi,Western Region
Bukinda,Rukiga,Western Region
Kamwezi,Rukiga,Western Region
Kashambya,Rukiga,Western Region
Mparo Twon Council,Rukiga,Western Region
Muhanga Town Council,Rukiga,Western Region
Rukiga,Rukiga,Western Region
Rwamucucu,Rukiga,Western Region
Bugangari,Rukungiri,Western Region
Buhunga,Rukungiri,Western Region
Bujumbura,Rukungiri,Western Region
Bukurungu Town Council,Rukungiri,Western Region
Buyanja,Rukungiri,Western Region
Buyanja Town Council,Rukungiri,Western Region
Bwambara,Rukungiri,Western Region
Eastern Divison,Rukungiri,Western Region
Kebisoni,Rukungiri,Western Region
Kebisoni Town Council,Rukungiri,Western Region
Nyakagyeme,Rukungiri,Western Region
Nyakishenyi,Rukungiri,Western Region
Nyarushanje,Rukungiri,Western Region
Rubabo,Rukungiri,Western Region
Ruhinda,Rukungiri,Western Region
Rukungiri Municipality,Rukungiri,Western Region
Rwerere Town Council,Rukungiri,Western Region
Southern Division,Rukungiri,Western Region
Western Division,Rukungiri,Western Region
Bugamba,Rwampara,Western Region
Kinoni Town Council,Rwampara,Western Region
Mwizi,Rwampara,Western Region
Ndeija,Rwampara,Western Region
Rugando,Rwampara,Western Region
Rwampara,Rwampara,Western Region
Bugongi Town Council,Sheema,Western Region
Kabwohe Division,Sheema,Western Region
Kagango Division,Sheema,Western Region
Kakindo Town Council,Sheema,Western Region
Kasaana,Sheema,Western Region
Kashozi Division,Sheema,Western Region
Kigarama,Sheema,Western Region
Kitagata,Sheema,Western Region
Kitagata Town Council,Sheema,Western Region
Kyangyenyi,Sheema,Western Region
Masheruka,Sheema,Western Region
Masheruka Twon Council,Sheema,Western Region
Rugarama,Sheema,Western Region
Sheema,Sheema,Western Region
Sheema Central Division,Sheema,Western Region
Sheema Municipality,Sheema,Western Region
Shuuku Town Council,Sheema,Western Region
